Ranking,Name,Date,Year,Quart,Sales,Audience,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory,Y0,Y8,Y9,Y10,Y11,Y12,Y13,Y14,Y15,Y16,Y17,Y18
40,은밀하게 위대하게,2013-06-05,13,2qr,48700887413,6959083,1341,0,1,1,0,0,0,0,0,22,0,1,0,0,0,0,0,0,1,0,0,0,0,0
41,곡성,2016-05-12,16,2qr,55863520382,6879908,1485,0,0,0,1,1,0,0,0,35,3,0,0,0,0,0,0,0,0,0,0,1,0,0
42,범죄도시,2017-10-03,17,4qr,56318014149,6879841,1315,0,1,1,0,0,0,0,1,42,1,0,0,0,0,0,0,0,0,0,0,0,1,0
43,타짜,2006-09-28,6,3qr,36182617500,6847777,147,0,1,1,0,0,0,0,1,22,1,1,0,0,0,0,0,0,0,0,0,0,0,0
44,"좋은 놈, 나쁜 놈, 이상한 놈",2008-07-17,8,3qr,43768628939,6686912,825,0,1,0,0,0,1,0,0,30,2,1,0,1,0,0,0,0,0,0,0,0,0,0
45,늑대소년,2012-10-31,12,4qr,46593107500,6654837,706,0,0,1,0,0,0,0,0,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0
46,미녀는 괴로워,2006-12-14,6,4qr,48281959235,6619498,93,0,0,1,0,0,1,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
47,군함도,2017-07-26,17,3qr,50510565168,6592151,2027,1,1,0,0,0,0,0,0,25,4,1,0,0,0,0,0,0,0,0,0,0,1,0
48,아저씨,2010-08-04,10,3qr,47870792359,6282774,478,0,1,1,0,0,0,0,0,11,1,1,0,0,0,1,0,0,0,0,0,0,0,0
49,사도,2015-09-16,15,3qr,48842902501,6246849,1210,1,1,1,0,0,0,0,0,22,3,1,0,0,0,0,0,0,0,0,1,0,0,0
50,전우치,2009-12-23,9,4qr,44605437017,6136928,606,1,1,0,0,0,1,0,0,23,1,1,0,0,1,0,0,0,0,0,0,0,0,0
51,투사부일체,2006-01-19,6,1qr,48582192939,6105431,93,0,0,1,0,0,1,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0
52,연평해전,2015-06-24,15,2qr,45563228330,6043784,1013,1,1,1,0,1,0,0,0,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0
53,쉬리,1999-02-13,-1,1qr,40293959302,5820000,0,0,1,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,청년경찰,2017-08-09,17,3qr,44381150516,5653270,1102,0,1,0,0,0,1,0,0,43,0,1,0,0,0,0,0,0,0,0,0,0,1,0
55,가문의 위기(가문의 영광2),2005-09-07,5,3qr,28622355500,5635266,101,0,0,0,0,0,1,0,0,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0
56,숨바꼭질,2013-08-14,13,3qr,39602987500,5604104,779,0,0,0,1,0,0,0,0,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0
57,덕혜옹주,2016-08-03,16,3qr,44393828109,5599229,964,1,0,1,0,0,0,0,0,23,1,1,0,0,0,0,0,0,0,0,0,1,0,0
58,더 테러 라이브,2013-07-31,13,3qr,39866712881,5583596,743,0,0,0,0,1,0,0,1,20,0,1,0,0,0,0,0,0,1,0,0,0,0,0
59,감시자들,2013-07-03,13,3qr,39380162179,5508017,949,0,1,0,0,0,0,0,0,19,3,0,0,0,0,0,0,0,1,0,0,0,0,0
60,의형제,2010-02-04,10,1qr,40800867602,5507106,572,0,1,0,0,0,1,0,0,14,1,1,0,0,0,1,0,0,0,0,0,0,0,0
61,검은 사제들,2015-11-05,15,4qr,42407832092,5442553,1088,0,0,0,1,0,0,0,1,19,1,1,0,0,0,0,0,0,0,0,1,0,0,0
62,더 킹,2017-01-18,17,1qr,43486078535,5316325,1310,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0
63,완득이,2011-10-20,11,4qr,38530503500,5310510,500,0,0,1,0,0,1,0,0,17,0,1,0,0,0,0,1,0,0,0,0,0,0,0
64,살인의 추억,2003-04-25,3,2qr,39040395912,5255376,54,0,0,0,1,0,0,0,1,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0
65,타워,2012-12-25,12,4qr,37654858000,5181014,617,0,0,1,0,1,0,0,0,20,3,1,0,0,0,0,0,1,0,0,0,0,0,0
66,말아톤,2005-01-27,5,1qr,38382838421,5148022,73,0,0,1,0,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,추격자,2008-02-14,8,1qr,33943278500,5071619,435,0,1,0,0,0,0,0,1,28,0,1,0,1,0,0,0,0,0,0,0,0,0,0
68,독전,2018-05-22,18,2qr,43485249413,5063676,1357,0,1,0,0,0,0,0,0,31,3,0,0,0,0,0,0,0,0,0,0,0,0,1
