Audience,Year,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory
1,10,736,0,1,0,0,0,0,0,0,14,0,1
1,17,1140,0,0,1,0,0,0,0,0,21,0,0
1,3,45,0,1,0,0,0,0,0,0,20,0,0
1,18,1117,0,1,0,0,0,0,0,0,22,0,0
1,18,1041,0,1,0,0,0,0,0,0,39,0,1
1,4,50,0,0,1,0,0,0,0,0,43,0,0
1,3,51,0,0,1,0,0,0,0,0,29,0,1
1,3,52,0,0,0,1,0,0,0,0,37,0,0
1,7,110,0,0,1,0,0,0,0,1,28,1,1
1,6,118,0,0,1,0,0,0,0,0,26,0,0
1,11,512,0,1,0,0,0,0,0,0,33,0,1
1,13,806,0,0,0,0,1,0,0,0,28,1,0
1,4,67,0,0,1,0,0,0,0,0,42,0,1
1,2,71,0,0,1,0,0,0,0,0,38,0,0
1,5,58,0,0,1,0,0,1,0,0,35,0,1
1,10,405,0,0,1,0,0,0,0,0,39,1,1
1,9,379,0,1,1,0,0,0,0,0,34,0,1
1,5,92,0,0,1,0,0,0,0,0,30,0,1
1,15,926,0,0,1,0,0,0,0,0,30,0,0
1,7,88,0,0,1,0,0,0,0,0,26,0,1
1,10,512,1,0,0,0,0,0,1,0,33,0,1
1,9,648,0,0,1,0,0,0,0,0,37,1,1
1,11,469,0,0,1,0,0,0,0,0,36,0,1
1,16,993,0,0,1,0,0,0,0,0,28,1,1
1,13,968,0,1,0,0,0,0,0,0,26,0,1
1,12,604,0,1,0,0,0,0,0,0,29,0,0
1,9,20,0,0,1,0,0,0,0,0,38,0,0
1,11,585,0,1,0,0,0,0,0,0,40,0,1
1,17,1047,0,0,1,0,0,0,0,0,28,0,1
1,10,472,0,0,1,0,0,1,0,0,34,0,0
1,4,70,0,0,1,0,0,0,0,0,29,0,0
1,15,894,0,1,0,0,0,0,0,0,34,2,1
1,14,665,0,1,0,0,0,0,0,0,31,1,1
1,3,71,1,1,0,0,0,0,0,0,34,0,0
1,10,502,0,1,0,0,0,0,0,1,34,1,1
1,7,80,0,0,1,0,0,0,0,0,34,0,1
1,10,402,0,0,1,0,0,0,0,0,34,0,1
1,12,547,0,0,0,1,0,0,0,0,30,1,1
1,13,641,0,0,1,0,0,0,0,0,28,3,1
1,1,0,0,0,1,0,0,0,0,0,41,0,0
1,18,1124,0,0,0,1,0,0,0,0,32,0,1
1,17,1064,0,0,0,1,0,0,0,0,33,8,1
1,12,624,1,0,0,0,0,0,0,0,28,0,1
1,15,764,0,1,0,0,0,0,0,0,42,0,1
1,18,1163,0,0,1,0,0,0,0,0,27,0,1
1,11,524,0,0,1,0,0,0,0,0,32,0,1
1,16,1278,0,1,0,0,0,0,0,0,31,3,1
1,17,1091,0,1,0,0,0,0,0,1,38,2,1
1,9,586,0,0,1,0,0,0,0,0,42,2,1
1,6,84,1,0,0,0,0,0,1,0,26,0,1
1,4,68,0,0,1,0,0,0,0,0,43,0,1
1,14,641,0,1,0,0,0,0,0,1,27,0,1
1,5,105,0,0,1,0,0,0,0,0,31,0,1
1,17,1019,0,1,0,0,0,0,0,0,42,1,1
1,1,0,1,1,0,0,0,0,0,0,36,0,1
1,4,77,0,0,1,0,0,0,0,0,43,0,1
1,12,466,0,0,1,0,0,0,0,0,34,1,0
2,5,78,0,1,0,0,0,0,0,0,29,0,0
2,3,60,0,0,1,0,0,0,0,0,31,0,0
2,18,1249,1,0,0,0,0,0,0,0,33,7,1
2,12,548,0,0,0,1,0,0,0,0,29,0,0
2,12,600,0,0,0,1,0,0,0,0,43,0,1
2,5,83,0,0,1,0,0,0,0,0,41,0,0
2,17,935,0,0,1,0,0,0,0,0,35,1,0
2,13,817,0,1,0,1,0,0,0,0,42,1,1
2,11,522,0,0,1,0,0,0,0,1,29,0,1
2,18,1021,0,0,1,0,0,0,0,0,35,0,0
2,11,537,0,0,0,0,0,1,0,0,39,0,0
2,11,404,0,1,0,0,0,0,0,0,27,0,0
2,17,1176,1,0,0,0,0,0,0,0,28,0,0
2,6,71,0,0,1,0,0,0,0,0,31,0,1
2,4,41,0,1,0,0,0,0,0,0,36,0,0
2,5,75,0,0,1,0,0,0,0,0,32,0,1
2,3,70,0,0,1,0,0,0,0,0,41,0,0
2,8,463,1,0,0,0,0,0,0,0,27,0,1
2,10,547,1,0,0,0,0,0,0,0,32,0,1
2,-1,0,0,1,0,0,0,1,0,0,26,0,0
2,10,577,1,0,0,0,0,0,0,0,37,0,0
2,6,60,0,0,1,0,0,0,0,0,42,0,1
2,5,98,0,1,0,0,0,0,0,0,39,0,0
2,7,85,0,0,0,1,0,0,0,0,35,1,0
2,3,57,0,0,1,0,0,0,0,0,43,0,1
2,11,812,0,1,0,0,0,0,0,0,35,3,1
2,9,462,0,0,0,1,0,0,0,0,30,2,1
2,3,58,0,0,1,0,0,0,0,0,40,0,0
2,11,345,0,0,1,0,0,0,0,0,26,0,1
2,4,75,0,0,1,0,0,0,0,0,40,0,0
2,5,68,0,0,1,0,0,0,0,0,36,0,0
2,15,776,0,0,0,1,0,0,0,0,34,0,1
2,15,841,0,1,0,0,0,0,0,0,31,0,1
2,7,79,0,0,1,0,0,0,0,0,33,1,1
2,4,40,0,0,1,0,0,0,0,0,41,0,1
2,10,618,0,1,0,0,0,0,0,1,28,0,0
2,10,622,0,1,0,0,0,0,0,0,31,0,0
2,9,474,0,0,1,0,0,0,0,0,37,1,1
2,11,645,0,1,0,0,0,0,0,0,36,2,0
2,14,629,0,0,1,0,0,0,0,0,42,0,0
2,4,50,0,0,1,0,0,0,0,1,40,0,1
2,7,78,0,0,1,0,0,0,0,0,39,0,1
2,7,297,0,0,1,0,0,0,0,0,36,0,0
2,16,841,0,0,1,0,0,0,0,0,26,1,1
2,6,78,0,1,0,0,0,0,0,0,31,0,1
2,13,540,0,0,1,0,0,0,0,0,40,0,0
2,7,89,0,0,0,0,0,1,1,0,26,0,1
2,15,838,0,0,0,0,0,0,0,0,38,0,1
2,10,463,0,0,1,0,0,0,0,0,43,0,1
2,6,86,0,0,1,0,0,0,0,0,29,0,1
2,8,445,0,1,0,0,0,0,0,0,35,0,1
2,15,648,0,0,1,0,0,0,0,0,28,1,0
2,16,942,1,0,0,0,0,0,0,0,32,0,1
2,4,87,0,1,0,0,0,0,0,0,40,1,0
2,6,82,0,1,0,0,0,0,0,0,29,0,1
2,4,36,0,0,0,1,0,0,0,0,30,0,1
2,14,531,0,0,1,0,0,0,0,0,28,1,0
2,4,65,0,0,1,0,0,0,0,0,30,0,1
2,4,44,0,0,1,0,0,0,0,0,34,0,0
2,9,262,0,0,1,0,0,0,0,0,38,0,0
2,5,64,0,1,0,0,0,1,0,0,30,0,1
2,9,387,0,1,0,0,0,0,0,0,36,0,1
2,15,709,0,0,1,0,0,1,0,0,38,0,1
2,11,605,0,0,1,0,0,0,0,0,32,0,1
2,6,72,0,0,1,0,0,0,0,0,36,1,0
2,10,524,0,1,0,0,0,0,0,0,32,3,0
2,12,537,0,0,1,0,0,0,0,0,27,0,1
2,11,504,0,0,0,1,0,0,0,0,34,0,1
2,13,567,0,0,1,0,0,0,0,0,38,0,1
2,6,54,0,0,1,0,0,0,0,0,37,0,0
2,3,55,0,1,0,0,0,0,0,0,42,0,1
2,17,775,0,0,1,0,0,0,0,0,42,0,0
2,13,740,0,0,1,0,0,0,0,0,36,0,1
2,10,494,0,0,0,1,0,0,0,1,41,0,1
2,7,95,0,0,1,0,0,0,0,0,37,0,0
2,12,552,0,0,1,0,0,1,0,0,33,0,1
2,6,70,0,1,0,0,0,0,0,0,37,0,1
2,9,397,0,0,0,0,0,0,0,0,40,0,1
2,4,32,0,1,0,0,0,0,0,0,32,0,0
2,8,414,0,0,1,0,0,0,0,0,32,0,1
2,3,44,0,0,0,1,0,0,0,0,40,0,0
2,13,611,0,0,1,0,0,0,0,0,33,0,1
2,15,892,0,1,0,0,0,0,0,0,39,1,0
2,14,676,0,0,1,0,0,0,0,0,35,1,0
2,3,32,0,0,0,0,0,1,0,0,32,0,0
2,6,94,0,0,0,0,0,1,0,0,37,1,1
2,13,724,0,1,0,0,0,0,0,0,37,0,1
2,5,75,0,0,1,0,0,1,0,0,36,0,1
2,1,0,0,0,0,0,0,1,0,0,38,0,0
2,5,71,0,1,0,0,0,0,0,0,27,0,0
2,12,617,0,0,1,0,0,0,0,0,25,0,0
2,11,451,1,0,0,0,0,0,0,0,23,1,1
2,13,552,0,0,1,0,0,0,0,0,34,2,1
2,15,829,1,0,0,0,0,0,0,0,22,2,1
2,7,83,0,0,1,0,0,0,0,0,26,1,0
2,8,499,1,0,1,0,0,0,0,0,28,1,1
2,2,29,0,1,0,0,0,0,0,0,27,0,0
2,6,71,0,1,0,0,0,1,0,0,34,0,1
2,9,437,0,1,0,0,0,0,0,0,22,0,1
2,4,42,0,0,0,1,0,0,0,0,22,0,0
2,4,679,0,0,1,0,0,0,0,0,34,0,1
2,12,496,0,0,0,1,0,0,0,1,36,2,0
