Audience,Year,Screen,History,Action,Drama,Horor,Disaster,Comic,Erotic,Crime,Actorpower,Thousand,Factory
1,18,1538,1,1,0,0,0,0,0,0,25,1,0
2,18,918,0,0,0,0,0,0,0,1,26,3,1
2,18,1114,1,0,0,0,0,0,0,0,22,1,0
1,18,1532,0,1,0,0,0,0,0,1,46,3,0
3,18,351,0,0,0,0,0,1,0,1,32,3,0
1,18,1177,0,0,1,0,0,0,0,1,27,3,0
2,18,1351,0,1,0,0,0,0,0,0,25,0,0
3,18,638,0,0,1,0,0,0,0,0,20,0,0
1,18,1313,0,0,0,0,0,1,0,0,52,5,0
