지점,일시,기온(°C),풍속(m/s),풍향(16방위),습도(%)
108,2017-09-26 04:00,19.9,2.5,70,72
108,2017-09-26 05:00,19.8,2.2,70,71
108,2017-09-26 06:00,19.5,2.2,70,72
108,2017-09-26 07:00,19.5,2,70,72
108,2017-09-26 08:00,20.8,1.9,70,66
108,2017-09-26 09:00,23,2.7,70,61
108,2017-09-26 10:00,24.9,2.3,70,55
108,2017-09-26 11:00,26.5,2.8,90,50
108,2017-09-26 12:00,28.7,2.2,50,43
108,2017-09-26 13:00,29.3,1.8,50,42
108,2017-09-26 14:00,30.7,1.8,50,37
108,2017-09-26 15:00,31.1,1.5,160,39
108,2017-09-26 16:00,30.4,1.2,230,39
108,2017-09-26 18:00,27.9,,,45
108,2017-09-26 19:00,26.4,,,60
108,2017-09-26 20:00,25.9,.3,0,59
108,2017-09-26 21:00,25.5,1.1,20,61
108,2017-09-26 22:00,25,1.3,50,65
108,2017-09-26 23:00,24.6,.6,360,63
108,2017-09-27 00:00,24.3,.3,0,65
108,2017-09-27 01:00,24.1,1.2,200,70
108,2017-09-27 02:00,23.8,.5,250,73
108,2017-09-27 03:00,23.2,2.4,230,75
108,2017-09-27 04:00,22.8,1.2,250,83
108,2017-09-27 05:00,22.3,1.2,230,66
108,2017-09-27 06:00,21.6,2.2,140,61
108,2017-09-27 07:00,20.9,1.6,110,55
108,2017-09-27 08:00,21,1.6,70,56
108,2017-09-27 09:00,21.1,1.2,360,65
108,2017-09-27 10:00,22.2,.3,0,63
108,2017-09-27 11:00,23.1,1.2,250,71
108,2017-09-27 12:00,22.7,4.2,290,73
108,2017-09-27 13:00,23.8,2.6,290,70
108,2017-09-27 14:00,25.9,2.3,270,58
108,2017-09-27 15:00,27.1,2.1,270,58
108,2017-09-27 16:00,26.2,3.3,340,59
108,2017-09-27 17:00,25.3,2.8,340,61
108,2017-09-27 18:00,24.8,2.3,340,58
108,2017-09-27 19:00,23.6,2.5,340,65
108,2017-09-27 20:00,22.5,3.4,20,65
108,2017-09-27 21:00,21.5,1.8,20,70
108,2017-09-27 22:00,20.8,2.1,50,69
108,2017-09-27 23:00,20.4,1.1,70,67
108,2017-09-28 00:00,19.9,2.1,290,71
108,2017-09-28 01:00,19.5,1,70,70
108,2017-09-28 02:00,19.1,1.4,50,72
108,2017-09-28 03:00,18.8,1,50,74
108,2017-09-28 04:00,18.5,1.9,290,75
108,2017-09-28 05:00,17.8,2.5,320,79
108,2017-09-28 06:00,17.1,1.9,270,82
108,2017-09-28 07:00,16.6,1.1,270,83
108,2017-09-28 08:00,17.7,2.2,290,69
108,2017-09-28 09:00,19.2,2.8,290,56
108,2017-09-28 10:00,20.9,2.9,290,39
108,2017-09-28 11:00,22.1,2.8,270,33
108,2017-09-28 12:00,23,3.7,290,21
108,2017-09-28 13:00,24.1,3.2,250,26
108,2017-09-28 14:00,24.9,3.5,250,30
108,2017-09-28 15:00,24.1,5.3,270,35
108,2017-09-28 16:00,23.8,3.8,250,38
108,2017-09-28 17:00,22.6,5.2,270,38
108,2017-09-28 18:00,20.4,3.9,270,42
108,2017-09-28 19:00,19.1,2.9,270,46
108,2017-09-28 20:00,18.3,4.1,290,39
108,2017-09-28 21:00,16.6,3.8,290,36
108,2017-09-28 22:00,15.7,3.2,340,41
108,2017-09-28 23:00,14.7,1,230,43
108,2017-09-29 00:00,14.3,1.9,270,47
108,2017-09-29 01:00,13.9,1.6,270,48
108,2017-09-29 02:00,13.8,1.8,270,48
108,2017-09-29 03:00,13.1,1.1,290,51
108,2017-09-29 04:00,12.3,.8,320,58
108,2017-09-29 05:00,11.7,.9,270,61
108,2017-09-29 06:00,11.4,1.1,290,60
108,2017-09-29 07:00,11.3,.2,0,54
108,2017-09-29 08:00,13.4,0,0,35
108,2017-09-29 09:00,16.7,1.3,250,27
108,2017-09-29 10:00,18.7,1.4,290,28
108,2017-09-29 11:00,20.4,2.4,270,27
108,2017-09-29 12:00,22,2.6,200,26
108,2017-09-29 13:00,22.7,3.2,250,25
108,2017-09-29 14:00,23,4,250,27
108,2017-09-29 15:00,22.4,4.2,270,27
108,2017-09-29 16:00,21.3,3.5,230,29
108,2017-09-29 17:00,20.4,2.5,230,32
108,2017-09-29 18:00,19.5,4,230,30
108,2017-09-29 19:00,18.4,1.9,250,33
108,2017-09-29 20:00,17.9,2.3,230,42
108,2017-09-29 21:00,17.6,2.8,230,42
108,2017-09-29 22:00,17.3,2.5,230,45
108,2017-09-29 23:00,17,2.5,230,46
108,2017-09-30 00:00,16.6,1.4,230,51
108,2017-09-30 01:00,16.7,1.6,230,55
108,2017-09-30 02:00,16.6,2,200,60
108,2017-09-30 03:00,16.5,1.2,200,62
108,2017-09-30 04:00,16.2,1,20,68
108,2017-09-30 05:00,15.5,1,20,67
108,2017-09-30 06:00,14.9,1.4,20,68
108,2017-09-30 07:00,14.7,1,20,67
108,2017-09-30 08:00,16,1.9,70,62
108,2017-09-30 09:00,17.6,1.4,20,58
108,2017-09-30 10:00,20.8,1.1,110,55
108,2017-09-30 11:00,22.5,1.1,160,57
108,2017-09-30 12:00,22.6,1,180,59
108,2017-09-30 13:00,23.3,1.4,70,54
108,2017-09-30 14:00,23.5,1.3,70,56
108,2017-09-30 15:00,25.7,3.6,200,54
108,2017-09-30 16:00,25.3,2.4,250,52
108,2017-09-30 17:00,25,2,250,53
108,2017-09-30 18:00,23.7,1.5,200,59
108,2017-09-30 19:00,22.3,1.6,250,65
108,2017-09-30 20:00,21.5,1.5,290,69
108,2017-09-30 21:00,20.3,1.5,270,76
108,2017-09-30 22:00,19.7,.7,270,79
108,2017-09-30 23:00,19.1,.6,340,81
