일자,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 전운량(1/10)
20171101,2017-11-01,14.4,11.5,18.1,,8.5
20171102,2017-11-02,15.5,14,18,1,8.8
20171103,2017-11-03,12.3,6.1,16.6,1.5,5.6
20171104,2017-11-04,7.8,4.5,13.7,,2.4
20171105,2017-11-05,8.4,2.6,15.4,,3.3
20171106,2017-11-06,11.4,8,16.5,,5.5
20171107,2017-11-07,14.4,9.2,18.4,0,9.1
20171108,2017-11-08,13.1,6.9,17.2,0,3.9
20171109,2017-11-09,9.4,3.7,16.8,,0
20171110,2017-11-10,9.8,5.3,15.9,7.5,4.4
20171111,2017-11-11,5.9,2.7,10.7,,0
20171112,2017-11-12,5.3,0.3,11.4,,1.5
20171113,2017-11-13,8.4,3.1,11.8,4.5,7.9
20171114,2017-11-14,7.5,2.9,11.4,,1.9
20171115,2017-11-15,3.2,-1.1,6.5,,4.1
20171116,2017-11-16,1,-3.4,6.4,,0
20171117,2017-11-17,3,-1.6,5.8,0,8.5
20171118,2017-11-18,-2.1,-4.8,2.6,,0
20171119,2017-11-19,-1.6,-6.6,3.5,,2.8
20171120,2017-11-20,-0.4,-3.9,4.2,0,3.5
20171121,2017-11-21,1.3,-4.2,8.1,,1.1
20171122,2017-11-22,4.3,0.6,10.8,0.5,5.1
20171123,2017-11-23,0.9,-2.5,4.7,1.2,4.8
20171124,2017-11-24,-0.4,-2.5,2.9,0,3.3
20171125,2017-11-25,3,-3.3,7.3,24,7.5
20171126,2017-11-26,3.3,-0.3,7.6,,4.3
20171127,2017-11-27,2.5,-2.9,9.5,,0.9
20171128,2017-11-28,6.4,1.3,11.2,0.5,8.4
20171129,2017-11-29,3.2,-1.8,8.1,0,5.4
20171130,2017-11-30,-2.4,-5.2,2.7,,2
