지점,일시,평균기온(°C),최저기온(°C),최고기온(°C),일강수량(mm),평균 전운량(1/10)
108,2017-09-01,23.3,17.1,29.7,,.4
108,2017-09-02,23.8,18.6,29.6,,2.9
108,2017-09-03,23.7,19,29.2,,3
108,2017-09-04,24.6,19.7,30.1,,6.1
108,2017-09-05,21.9,20.4,23.7,0,8.8
108,2017-09-06,20.6,18.5,24,2,9.6
108,2017-09-07,22.4,17.8,27.5,,5.6
108,2017-09-08,24.3,20.4,29.9,,3.8
108,2017-09-09,23.8,19.2,28.2,,2.8
108,2017-09-10,23,19.9,26.1,.5,9.3
108,2017-09-11,21.2,18.6,24.6,24,7.6
108,2017-09-12,22.1,17.7,27.9,,.6
108,2017-09-13,21.4,15.9,27.5,,0
108,2017-09-14,22.4,14.8,29.5,,1.5
108,2017-09-15,22.6,17.8,27.9,,3.9
108,2017-09-16,22,16.7,27.6,,3.1
108,2017-09-17,23.1,19,29.2,,3.5
108,2017-09-18,21.9,16.4,27.6,,1.8
108,2017-09-19,22.6,20.1,25.8,8,7.9
108,2017-09-20,19.5,14.1,24.9,,.8
108,2017-09-21,20.3,14.2,27,,.5
108,2017-09-22,20.6,15.4,26.8,,3.5
108,2017-09-23,21.8,17.6,27.3,0,6.6
108,2017-09-24,22.4,18.8,27.9,0,6.9
108,2017-09-25,23.4,17.4,30.1,,2.5
108,2017-09-26,25.1,19.4,31.4,0,4.9
108,2017-09-27,22.7,19.9,27.3,.5,8.8
108,2017-09-28,19.2,14.2,25.3,,2.5
108,2017-09-29,17.4,11.2,23.5,,3.1
108,2017-09-30,20,14.7,25.9,,3.5
